img_id,ref_id,score
a0001-jmac_DSC1459_N1.png,a0001-jmac_DSC1459.png,7.25
a0001-jmac_DSC1459_N2.png,a0001-jmac_DSC1459.png,5.58
a0001-jmac_DSC1459_N3.png,a0001-jmac_DSC1459.png,2.96
a0001-jmac_DSC1459_N4.png,a0001-jmac_DSC1459.png,1.14
a0001-jmac_DSC1459_P0.png,a0001-jmac_DSC1459.png,7.77
a0001-jmac_DSC1459_P1.png,a0001-jmac_DSC1459.png,7.67
a0001-jmac_DSC1459_P2.png,a0001-jmac_DSC1459.png,5.66
a0001-jmac_DSC1459_P3.png,a0001-jmac_DSC1459.png,2.59
a0001-jmac_DSC1459_P4.png,a0001-jmac_DSC1459.png,1.32
a0002-dgw_005_N1.png,a0002-dgw_005.png,5.02
a0002-dgw_005_N2.png,a0002-dgw_005.png,2.86
a0002-dgw_005_N3.png,a0002-dgw_005.png,1.3
a0002-dgw_005_N4.png,a0002-dgw_005.png,0.76
a0002-dgw_005_P0.png,a0002-dgw_005.png,6.28
a0002-dgw_005_P1.png,a0002-dgw_005.png,6.74
a0002-dgw_005_P2.png,a0002-dgw_005.png,6.27
a0002-dgw_005_P3.png,a0002-dgw_005.png,5.21
a0002-dgw_005_P4.png,a0002-dgw_005.png,3.21
a0003-NKIM_MG_8178_N1.png,a0003-NKIM_MG_8178.png,4.47
a0003-NKIM_MG_8178_N2.png,a0003-NKIM_MG_8178.png,3.57
a0003-NKIM_MG_8178_N3.png,a0003-NKIM_MG_8178.png,2.51
a0003-NKIM_MG_8178_N4.png,a0003-NKIM_MG_8178.png,1.53
a0003-NKIM_MG_8178_P0.png,a0003-NKIM_MG_8178.png,5.31
a0003-NKIM_MG_8178_P1.png,a0003-NKIM_MG_8178.png,5.74
a0003-NKIM_MG_8178_P2.png,a0003-NKIM_MG_8178.png,5.59
a0003-NKIM_MG_8178_P3.png,a0003-NKIM_MG_8178.png,4.5
a0003-NKIM_MG_8178_P4.png,a0003-NKIM_MG_8178.png,2.78
a0004-jmac_MG_1384_N1.png,a0004-jmac_MG_1384.png,4.82
a0004-jmac_MG_1384_N2.png,a0004-jmac_MG_1384.png,2.99
a0004-jmac_MG_1384_N3.png,a0004-jmac_MG_1384.png,1.91
a0004-jmac_MG_1384_N4.png,a0004-jmac_MG_1384.png,1.39
a0004-jmac_MG_1384_P0.png,a0004-jmac_MG_1384.png,6.11
a0004-jmac_MG_1384_P1.png,a0004-jmac_MG_1384.png,6.64
a0004-jmac_MG_1384_P2.png,a0004-jmac_MG_1384.png,6.34
a0004-jmac_MG_1384_P3.png,a0004-jmac_MG_1384.png,4.78
a0004-jmac_MG_1384_P4.png,a0004-jmac_MG_1384.png,2.69
a0005-jn_2007_05_10__564_N1.png,a0005-jn_2007_05_10__564.png,1.81
a0005-jn_2007_05_10__564_N2.png,a0005-jn_2007_05_10__564.png,1.38
a0005-jn_2007_05_10__564_N3.png,a0005-jn_2007_05_10__564.png,1.13
a0005-jn_2007_05_10__564_N4.png,a0005-jn_2007_05_10__564.png,1.02
a0005-jn_2007_05_10__564_P0.png,a0005-jn_2007_05_10__564.png,2.56
a0005-jn_2007_05_10__564_P1.png,a0005-jn_2007_05_10__564.png,3.6
a0005-jn_2007_05_10__564_P2.png,a0005-jn_2007_05_10__564.png,4.93
a0005-jn_2007_05_10__564_P3.png,a0005-jn_2007_05_10__564.png,5.36
a0005-jn_2007_05_10__564_P4.png,a0005-jn_2007_05_10__564.png,4.86
a0006-IMG_2787_N1.png,a0006-IMG_2787.png,6.12
a0006-IMG_2787_N2.png,a0006-IMG_2787.png,4.83
a0006-IMG_2787_N3.png,a0006-IMG_2787.png,2.99
a0006-IMG_2787_N4.png,a0006-IMG_2787.png,1.86
a0006-IMG_2787_P0.png,a0006-IMG_2787.png,6.53
a0006-IMG_2787_P1.png,a0006-IMG_2787.png,5.63
a0006-IMG_2787_P2.png,a0006-IMG_2787.png,3.35
a0006-IMG_2787_P3.png,a0006-IMG_2787.png,1.65
a0006-IMG_2787_P4.png,a0006-IMG_2787.png,1.85
a0007-IMG_2480_N1.png,a0007-IMG_2480.png,4.27
a0007-IMG_2480_N2.png,a0007-IMG_2480.png,2.45
a0007-IMG_2480_N3.png,a0007-IMG_2480.png,1.35
a0007-IMG_2480_N4.png,a0007-IMG_2480.png,1.01
a0007-IMG_2480_P0.png,a0007-IMG_2480.png,5.55
a0007-IMG_2480_P1.png,a0007-IMG_2480.png,5.79
a0007-IMG_2480_P2.png,a0007-IMG_2480.png,4.91
a0007-IMG_2480_P3.png,a0007-IMG_2480.png,2.9
a0007-IMG_2480_P4.png,a0007-IMG_2480.png,1.39
a0008-WP_CRW_3959_N1.png,a0008-WP_CRW_3959.png,2.88
a0008-WP_CRW_3959_N2.png,a0008-WP_CRW_3959.png,1.51
a0008-WP_CRW_3959_N3.png,a0008-WP_CRW_3959.png,0.91
a0008-WP_CRW_3959_N4.png,a0008-WP_CRW_3959.png,0.72
a0008-WP_CRW_3959_P0.png,a0008-WP_CRW_3959.png,4.77
a0008-WP_CRW_3959_P1.png,a0008-WP_CRW_3959.png,5.85
a0008-WP_CRW_3959_P2.png,a0008-WP_CRW_3959.png,6.17
a0008-WP_CRW_3959_P3.png,a0008-WP_CRW_3959.png,5.67
a0008-WP_CRW_3959_P4.png,a0008-WP_CRW_3959.png,3.8
a0009-kme_372_N1.png,a0009-kme_372.png,5.15
a0009-kme_372_N2.png,a0009-kme_372.png,2.97
a0009-kme_372_N3.png,a0009-kme_372.png,1.49
a0009-kme_372_N4.png,a0009-kme_372.png,0.94
a0009-kme_372_P0.png,a0009-kme_372.png,6.93
a0009-kme_372_P1.png,a0009-kme_372.png,7.61
a0009-kme_372_P2.png,a0009-kme_372.png,7.82
a0009-kme_372_P3.png,a0009-kme_372.png,7.16
a0009-kme_372_P4.png,a0009-kme_372.png,4.6
a0010-jmac_MG_4807_N1.png,a0010-jmac_MG_4807.png,4.7
a0010-jmac_MG_4807_N2.png,a0010-jmac_MG_4807.png,3.4
a0010-jmac_MG_4807_N3.png,a0010-jmac_MG_4807.png,1.87
a0010-jmac_MG_4807_N4.png,a0010-jmac_MG_4807.png,1.11
a0010-jmac_MG_4807_P0.png,a0010-jmac_MG_4807.png,5.74
a0010-jmac_MG_4807_P1.png,a0010-jmac_MG_4807.png,5.99
a0010-jmac_MG_4807_P2.png,a0010-jmac_MG_4807.png,4.83
a0010-jmac_MG_4807_P3.png,a0010-jmac_MG_4807.png,3.19
a0010-jmac_MG_4807_P4.png,a0010-jmac_MG_4807.png,2.26
a0011-DSC_0082_N1.png,a0011-DSC_0082.png,5.76
a0011-DSC_0082_N2.png,a0011-DSC_0082.png,3.27
a0011-DSC_0082_N3.png,a0011-DSC_0082.png,1.47
a0011-DSC_0082_N4.png,a0011-DSC_0082.png,1.11
a0011-DSC_0082_P0.png,a0011-DSC_0082.png,6.93
a0011-DSC_0082_P1.png,a0011-DSC_0082.png,7.66
a0011-DSC_0082_P2.png,a0011-DSC_0082.png,7.01
a0011-DSC_0082_P3.png,a0011-DSC_0082.png,4.09
a0011-DSC_0082_P4.png,a0011-DSC_0082.png,1.71
a0012-kme_143_N1.png,a0012-kme_143.png,3.11
a0012-kme_143_N2.png,a0012-kme_143.png,2.15
a0012-kme_143_N3.png,a0012-kme_143.png,1.37
a0012-kme_143_N4.png,a0012-kme_143.png,0.98
a0012-kme_143_P0.png,a0012-kme_143.png,4.71
a0012-kme_143_P1.png,a0012-kme_143.png,5.47
a0012-kme_143_P2.png,a0012-kme_143.png,5.37
a0012-kme_143_P3.png,a0012-kme_143.png,4.59
a0012-kme_143_P4.png,a0012-kme_143.png,3.41
a0013-MB_20030906_001_N1.png,a0013-MB_20030906_001.png,6.51
a0013-MB_20030906_001_N2.png,a0013-MB_20030906_001.png,6.07
a0013-MB_20030906_001_N3.png,a0013-MB_20030906_001.png,4.61
a0013-MB_20030906_001_N4.png,a0013-MB_20030906_001.png,2.56
a0013-MB_20030906_001_P0.png,a0013-MB_20030906_001.png,6.23
a0013-MB_20030906_001_P1.png,a0013-MB_20030906_001.png,5.63
a0013-MB_20030906_001_P2.png,a0013-MB_20030906_001.png,3.74
a0013-MB_20030906_001_P3.png,a0013-MB_20030906_001.png,1.67
a0013-MB_20030906_001_P4.png,a0013-MB_20030906_001.png,0.83
a0014-WP_CRW_6320_N1.png,a0014-WP_CRW_6320.png,3.24
a0014-WP_CRW_6320_N2.png,a0014-WP_CRW_6320.png,1.77
a0014-WP_CRW_6320_N3.png,a0014-WP_CRW_6320.png,1.01
a0014-WP_CRW_6320_N4.png,a0014-WP_CRW_6320.png,0.88
a0014-WP_CRW_6320_P0.png,a0014-WP_CRW_6320.png,5.36
a0014-WP_CRW_6320_P1.png,a0014-WP_CRW_6320.png,6.37
a0014-WP_CRW_6320_P2.png,a0014-WP_CRW_6320.png,6.2
a0014-WP_CRW_6320_P3.png,a0014-WP_CRW_6320.png,4.26
a0014-WP_CRW_6320_P4.png,a0014-WP_CRW_6320.png,2.06
a0015-DSC_0081_N1.png,a0015-DSC_0081.png,6.4
a0015-DSC_0081_N2.png,a0015-DSC_0081.png,4.56
a0015-DSC_0081_N3.png,a0015-DSC_0081.png,2.05
a0015-DSC_0081_N4.png,a0015-DSC_0081.png,0.96
a0015-DSC_0081_P0.png,a0015-DSC_0081.png,7.05
a0015-DSC_0081_P1.png,a0015-DSC_0081.png,6.95
a0015-DSC_0081_P2.png,a0015-DSC_0081.png,4.93
a0015-DSC_0081_P3.png,a0015-DSC_0081.png,1.59
a0015-DSC_0081_P4.png,a0015-DSC_0081.png,0.94
a0016-jmac_MG_0795_N1.png,a0016-jmac_MG_0795.png,6.48
a0016-jmac_MG_0795_N2.png,a0016-jmac_MG_0795.png,4.2
a0016-jmac_MG_0795_N3.png,a0016-jmac_MG_0795.png,2.12
a0016-jmac_MG_0795_N4.png,a0016-jmac_MG_0795.png,1.13
a0016-jmac_MG_0795_P0.png,a0016-jmac_MG_0795.png,7.13
a0016-jmac_MG_0795_P1.png,a0016-jmac_MG_0795.png,6.95
a0016-jmac_MG_0795_P2.png,a0016-jmac_MG_0795.png,5.72
a0016-jmac_MG_0795_P3.png,a0016-jmac_MG_0795.png,3.41
a0016-jmac_MG_0795_P4.png,a0016-jmac_MG_0795.png,1.88
a0017-050710_031618__MG_3496_N1.png,a0017-050710_031618__MG_3496.png,6.33
a0017-050710_031618__MG_3496_N2.png,a0017-050710_031618__MG_3496.png,5.58
a0017-050710_031618__MG_3496_N3.png,a0017-050710_031618__MG_3496.png,3.76
a0017-050710_031618__MG_3496_N4.png,a0017-050710_031618__MG_3496.png,1.7
a0017-050710_031618__MG_3496_P0.png,a0017-050710_031618__MG_3496.png,6.27
a0017-050710_031618__MG_3496_P1.png,a0017-050710_031618__MG_3496.png,5.57
a0017-050710_031618__MG_3496_P2.png,a0017-050710_031618__MG_3496.png,4.19
a0017-050710_031618__MG_3496_P3.png,a0017-050710_031618__MG_3496.png,1.94
a0017-050710_031618__MG_3496_P4.png,a0017-050710_031618__MG_3496.png,1.38
a0018-kme_234_N1.png,a0018-kme_234.png,4.6
a0018-kme_234_N2.png,a0018-kme_234.png,3.11
a0018-kme_234_N3.png,a0018-kme_234.png,1.73
a0018-kme_234_N4.png,a0018-kme_234.png,1.03
a0018-kme_234_P0.png,a0018-kme_234.png,5.95
a0018-kme_234_P1.png,a0018-kme_234.png,5.93
a0018-kme_234_P2.png,a0018-kme_234.png,5.08
a0018-kme_234_P3.png,a0018-kme_234.png,3.26
a0018-kme_234_P4.png,a0018-kme_234.png,2.56
a0019-jmac_MG_0653_N1.png,a0019-jmac_MG_0653.png,5.27
a0019-jmac_MG_0653_N2.png,a0019-jmac_MG_0653.png,3.81
a0019-jmac_MG_0653_N3.png,a0019-jmac_MG_0653.png,2.17
